id	DESeq2_logFC	DESeq2_padj	edgeR_logFC	edgeR_padj	maxPadj	minPadj
COL4A2	-8.692351135847	3.6379088092721e-140	-8.61594171356305	1.03032255811619e-112	1.03032255811619e-112	3.6379088092721e-140
IL16	6.24517298946689	3.07207903088712e-193	6.30448407354447	3.81582091789647e-112	3.81582091789647e-112	3.07207903088712e-193
FBN2	-9.75569437351193	9.48720080723568e-99	-9.63714681019751	4.82800114528047e-112	9.48720080723568e-99	4.82800114528047e-112
RASSF5	6.28203597219496	9.33296494137418e-224	6.34129150855177	9.8176144575761e-112	9.8176144575761e-112	9.33296494137418e-224
UNC5B	-10.6832140428942	3.62815784899465e-54	-10.5301382712474	1.19968299096728e-111	3.62815784899465e-54	1.19968299096728e-111
OLFM1	-10.9716653416857	1.43394648124251e-36	-10.7680476624455	1.48363687751603e-111	1.43394648124251e-36	1.48363687751603e-111
SKAP1	11.8339170035713	1.04583905323129e-30	11.5425558403791	2.93627924362292e-111	1.04583905323129e-30	2.93627924362292e-111
ERBB3	-9.14279627533104	3.00718520266333e-91	-9.04002655430145	4.58707827264931e-111	3.00718520266333e-91	4.58707827264931e-111
LILRB1	14.1259384707607	3.52143973425911e-38	14.5963859833338	7.66624651898279e-111	3.52143973425911e-38	7.66624651898279e-111
FGFBP3	-8.34518992928962	1.51877668770707e-172	-8.2677607140148	1.04616349077382e-110	1.04616349077382e-110	1.51877668770707e-172
PRDM14	-12.158853060829	3.64064180090527e-25	-11.8958882438027	1.08389048109703e-110	3.64064180090527e-25	1.08389048109703e-110
APOE	-10.718213824544	1.20526608425939e-139	-10.6322665715169	1.2471471193601e-110	1.2471471193601e-110	1.20526608425939e-139
KAL1	-13.3394733504321	5.90365696483086e-28	-14.2051656707194	8.6895635243496e-110	5.90365696483086e-28	8.6895635243496e-110
TIMP2	-10.1227386499928	1.00559499035824e-50	-9.97524600173947	1.62212016630531e-109	1.00559499035824e-50	1.62212016630531e-109
CASP4	10.2503954208653	1.26822324650778e-50	10.1586859823038	1.94426137455576e-109	1.26822324650778e-50	1.94426137455576e-109
IRF5	6.52990474197669	2.5704434323236e-189	6.58804290887762	2.52122017620298e-109	2.52122017620298e-109	2.5704434323236e-189
PTPN7	8.9477884737914	8.50389817976832e-103	8.97232559610818	2.55687839977084e-109	8.50389817976832e-103	2.55687839977084e-109
ITGB5	-7.59832625997113	1.48893101926821e-192	-7.52656334847788	2.70109969891703e-109	2.70109969891703e-109	1.48893101926821e-192
CPT1C	-10.6616562565674	1.78914206067607e-44	-10.4945274661192	7.73440711180482e-109	1.78914206067607e-44	7.73440711180482e-109
